Nonproprietary_Name_of_Drug,Drug_Pharmacological_Class,Proprietary_Name_of_Drug,NDC_Product_Code,Indication_For_Use,General_Side_Effects,Very_Common_Psychiatric_Side_Effects,Common_Psychiatric_Side_Effects,Uncommon_Psychiatric_Side_Effects,Rare_Psychiatric_Side_Effects,Very_Rare_Psychiatric_Side_Effects,Postmarketing_Reports_of_Psychiatric_Side_Effects,Frequency_Not_Reported_For_Psychiatric_Side_Effects
Duloxetine,SSNRI (Selective Serotonin and Norepinephrine Reuptake Inhibitor),Irenka,27437-298,"Major depressive disorder, general anxiety disorder","asthenia, constipation, diarrhea, dizziness, drowsiness, fatigue, hypersomnia, insomnia, nausea, sedation, headache, and xerostomia, agitation, erectile dysfunction, nervousness, psychomotor agitation, tension, vomiting, abdominal pain, anorexia, decreased appetite, decreased libido, hyperhidrosis, loss of libido, and restlessness",Insomnia,"Abnormal dreams, agitation, anxiety, sleep disorder","Apathy, bruxism, disorientation/confusional state, irritability, mood swings, nervousness, poor quality sleep, suicide attempt","Aggression and anger, completed suicide, hallucinations, mania, suicidal behavior and ideation",,,
Lamotrigine,Anti-epileptic agent/anticonvulsant,Lamictal,70518-0049,Used either alone or in combination with other medications to treat epileptic seizures in adults and children. Lamotrigine is also used to delay mood episodes in adults with bipolar disorder (manic depression),"Ataxia, blurred vision, diplopia, dizziness, drowsiness, headache, insomnia, nausea, rhinitis, skin rash, tremor, vomiting, abdominal pain, and fever, dysmenorrhea, dyspepsia, vaginitis, abnormal gait, asthenia, bronchitis, constipation, pain, pruritus, and emotional lability",,"Depression, anxiety, irritability, disturbance of concentration, emotional lability, abnormal thinking, nervousness","Apathy, euphoria, hallucinations, hostility, depersonalization, memory decrease, mind racing, panic attack, paranoid reaction, personality disorder, psychosis, sleep disorder, stupor, suicidal ideation","Delirium, delusions, dysphoria, manic depression reaction, neurosis",," Aggression, nightmares",
Vigabatrin,Anti-epileptic agent/anticonvulsant,Sabril,67386-111,Used in combination with other medications to treat complex partial seizures in adults and children who are at least 10 years old. The powder form of vigabatrin is used to treat infantile spasms in babies and children between the ages of 1 month and 2 years.,"Arthralgia, blurred vision, confusion, depression, diplopia, fatigue, weight gain, abnormal gait, ataxia, cough, diarrhea, drowsiness, memory impairment, tremor, irritability, and pharyngolaryngeal pain","Excitation (children), agitation (children)","Agitation, aggression, nervousness, depression, paranoid reaction, irritability, asthenia, fever, thirst, malaise, expressive language disorder, abnormal dreams, mental impairment (thought disturbance), lethargy, disturbance in attention","Hypomania, mania, psychotic disorder",Suicide attempt,Hallucination,,
Alprazolam,Benzodiazepine,Xanax,61919-089,"Anxiety disorders, panic disorders, and anxiety caused by depression","Ataxia, cognitive dysfunction, constipation, depression, difficulty in micturition, drowsiness, dysarthria, fatigue, headache, memory impairment, menstrual disease, nervousness, sedation, skin rash, tremor, weight gain, weight loss, anxiety, blurred vision, diarrhea, insomnia, decreased libido, increased appetite, irritability, and decreased appetite,  anxiety, ataxia, constipation, depersonalization, hyperventilation, hypoesthesia, hypotension, paresthesia, sexual disorder, sialorrhea, weight loss, muscle twitching, decreased appetite, decreased libido, and increased libido","Irritability (33.1%), anxiety (19.2%), depression (13.9%), confusional state (10.4%)","Disinhibition, talkativeness, derealization, dream abnormalities, fear",Anger,,," Hypomania, mania"," Hallucinations, depersonalization, aggression, hostility, abnormal thinking, withdrawal symptoms"
Alprazolam,Benzodiazepine,Niravam,16590-938,"Anxiety disorders, panic disorders, and anxiety caused by depression","Ataxia, cognitive dysfunction, constipation, depression, difficulty in micturition, drowsiness, dysarthria, fatigue, headache, memory impairment, menstrual disease, nervousness, sedation, skin rash, tremor, weight gain, weight loss, anxiety, blurred vision, diarrhea, insomnia, decreased libido, increased appetite, irritability, and decreased appetite,  anxiety, ataxia, constipation, depersonalization, hyperventilation, hypoesthesia, hypotension, paresthesia, sexual disorder, sialorrhea, weight loss, muscle twitching, decreased appetite, decreased libido, and increased libido","Irritability (33.1%), anxiety (19.2%), depression (13.9%), confusional state (10.4%)","Disinhibition, talkativeness, derealization, dream abnormalities, fear",Anger,,," Hypomania, mania"," Hallucinations, depersonalization, aggression, hostility, abnormal thinking, withdrawal symptoms"
Gabapentin,Anti-epileptic agent/anticonvulsant,Neurontin,0071-0401,"Treatment of neuropathic pain (nerve pain) caused by herpes virus or shingles (herpes zoster),  restless legs syndrome (RLS), ","Ataxia, dizziness, drowsiness, fatigue, fever, nystagmus, sedation, viral infection, blurred vision, diplopia, peripheral edema, tremor, amblyopia, irritability, xerostomia",,"Abnormal thinking, amnesia, depression, hostility, confusion, emotional liability, anxiety, nervousness, amnesia, insomnia",Mental impairment,Hallucinations,,," Suicidal behavior and ideation, hypomania"
Gabapentin,Anti-epileptic agent/anticonvulsant,Horizant,61786-858,"Treatment of neuropathic pain (nerve pain) caused by herpes virus or shingles (herpes zoster),  restless legs syndrome (RLS), ","Ataxia, dizziness, drowsiness, fatigue, fever, nystagmus, sedation, viral infection, blurred vision, diplopia, peripheral edema, tremor, amblyopia, irritability, xerostomia",,"Abnormal thinking, amnesia, depression, hostility, confusion, emotional liability, anxiety, nervousness, amnesia, insomnia",Mental impairment,Hallucinations,,," Suicidal behavior and ideation, hypomania"
Gabapentin,Anti-epileptic agent/anticonvulsant,Gralise,13913-004,"Treatment of neuropathic pain (nerve pain) caused by herpes virus or shingles (herpes zoster),  restless legs syndrome (RLS), ","Ataxia, dizziness, drowsiness, fatigue, fever, nystagmus, sedation, viral infection, blurred vision, diplopia, peripheral edema, tremor, amblyopia, irritability, xerostomia",,"Abnormal thinking, amnesia, depression, hostility, confusion, emotional liability, anxiety, nervousness, amnesia, insomnia",Mental impairment,Hallucinations,,," Suicidal behavior and ideation, hypomania"
Carbamazepine,Anticonvulsant,Tegretol,61786-445,Treatment of seizures and nerve pain such as trigeminal neuralgia and diabetic neuropathy,"Ataxia, dizziness, drowsiness, nausea, and vomiting, pruritus, speech disturbance, amblyopia, and xerostomia",,Abnormal thinking,,"Hallucinations (visual or acoustic), depression, loss of appetite, restlessness, aggressive behavior, agitation, confusion, talkativeness","Activation of psychosis, rebound mania following discontinuation of therapy",,
Carbamazepine,Anticonvulsant,Carbatrol,54092-171,Treatment of seizures and nerve pain such as trigeminal neuralgia and diabetic neuropathy,"Ataxia, dizziness, drowsiness, nausea, and vomiting, pruritus, speech disturbance, amblyopia, and xerostomia",,Abnormal thinking,,"Hallucinations (visual or acoustic), depression, loss of appetite, restlessness, aggressive behavior, agitation, confusion, talkativeness","Activation of psychosis, rebound mania following discontinuation of therapy",,
Carbamazepine,Anticonvulsant,Epitol,0093-0090,Treatment of seizures and nerve pain such as trigeminal neuralgia and diabetic neuropathy,"Ataxia, dizziness, drowsiness, nausea, and vomiting, pruritus, speech disturbance, amblyopia, and xerostomia",,Abnormal thinking,,"Hallucinations (visual or acoustic), depression, loss of appetite, restlessness, aggressive behavior, agitation, confusion, talkativeness","Activation of psychosis, rebound mania following discontinuation of therapy",,
Carbamazepine,Anticonvulsant,Equetro,30698-419,Treatment of seizures and nerve pain such as trigeminal neuralgia and diabetic neuropathy,"Ataxia, dizziness, drowsiness, nausea, and vomiting, pruritus, speech disturbance, amblyopia, and xerostomia",,Abnormal thinking,,"Hallucinations (visual or acoustic), depression, loss of appetite, restlessness, aggressive behavior, agitation, confusion, talkativeness","Activation of psychosis, rebound mania following discontinuation of therapy",,
Chloroquine,Antimalarial agent,Chloroquine,60429-076,Malaria,"Blurred vision, nausea, vomiting, abdominal cramps, headache, and diarrhea"," Mania, which is resolved after discontinuation and recurred with rechallenge",,,,,,"Neuropsychiatric changes, psychosis, mania, delirium, anxiety, agitation, insomnia, confusion, personality changes, depression, other psychiatric and neurologic disturbances, development of extrapyramidal rigidity, paranoia, hallucinations"
Mefloquine,Antimalarial agent,Mefloquine,68788-6833,Malaria,"Blurred vision, nausea, vomiting, abdominal cramps, headache, and diarrhea","Psychiatric side effects have included emotional problems and transient emotional disturbances. Behavioral changes, strange or vivid dreams, mania, nightmares, delusions, tension, anger, organic psychosis, and dysphoria have been reported. Sleep disorders (abnormal dreams), anxiety, depression, mood swings, panic attacks, aggression, psychotic or paranoid reactions, suicidal ideation, and suicide have been reported during postmarketing experience.",,,,,,
Metoprolol,Beta-blocker cardioselective,Lopressor,0078-0400,"Angina (chest pain) and hypertension (high blood pressure), also used to treat or prevent heart attack.","Cardiac failure, bradycardia, and hypotension, bradycardia",,Depression,"Insomnia, nightmare","Nervousness, anxiety","Confusion, hallucination, personality disorder, disturbances of libido",, Sleep disturbance
Metoprolol,Beta-blocker cardioselective,Metoprolol Tartrate,62584-265,"Angina (chest pain) and hypertension (high blood pressure), also used to treat or prevent heart attack.","Cardiac failure, bradycardia, and hypotension, bradycardia",,Depression,"Insomnia, nightmare","Nervousness, anxiety","Confusion, hallucination, personality disorder, disturbances of libido",, Sleep disturbance
Metoprolol,Beta-blocker cardioselective,Metoprolol Succinate ER,51655-573,"Angina (chest pain) and hypertension (high blood pressure), also used to treat or prevent heart attack.","Cardiac failure, bradycardia, and hypotension, bradycardia",,Depression,"Insomnia, nightmare","Nervousness, anxiety","Confusion, hallucination, personality disorder, disturbances of libido",, Sleep disturbance
Atenolol,Beta-blocker cardioselective,Tenormin,0310-0101,"Heart problems, including high blood pressure, heart failure, chest pain caused by angina, and certain abnormal heart rhythms,  migraine headaches","Cardiac failure, bradycardia, dizziness, fatigue, and cold extremities",Depression (up to 12%),Dreaming,Sleep disturbances,"Mood changes, nightmares, confusion, psychoses, hallucinations",,," Vivid dreams, insomnia"
Ifosfamide,Chemotherapeutic agent/Antineoplastic agent,Ifex,0338-3991,used with other cancer medicines to treat testicular cancer,"Central nervous system toxicity, confusion, drowsiness, and hallucination","Hallucinations (may be the sole or first manifestation of neurotoxicity), somnolence, confusion, and depressive psychosis",,"Dizziness, disorientation, anxiety, irritability",,,,
Lioresal,"Muscle relaxant, antispastic agent",baclofen,58281-560,multiple sclerosis and spinal cord injuries,"Confusion; dizziness or lightheadedness; drowsiness; nausea; unusual weakness, especially muscle weakness",,"Confusional state, hallucination, depression, insomnia, euphoric mood, nightmare, personality changes","Memory loss/impairment, suicidal ideation, attempted suicide",Excitement,,,
Desvenlafaxine,SNRIs (serotonin/norepinephrine reuptake inhibitor),Khedezla,65224-880,Major depressive disorder,"Constipation, dizziness, drowsiness, insomnia, nausea, decreased appetite, hyperhidrosis, xerostomia, anxiety, blurred vision, mydriasis, tremor, vertigo, vomiting, abnormal dreams, chills, and yawning. See below for a comprehensive list of adverse effects",Insomnia,"Anxiety, abnormal dreams, nervousness, decreased libido, anorgasmia, abnormal orgasm","Depersonalization, hypomania, withdrawal syndrome","Mania, hallucinations",,," Suicidal thoughts, bruxism"
Desvenlafaxine,SNRIs (serotonin/norepinephrine reuptake inhibitor),Pristiq,0008-1210,Major depressive disorder,"Constipation, dizziness, drowsiness, insomnia, nausea, decreased appetite, hyperhidrosis, xerostomia, anxiety, blurred vision, mydriasis, tremor, vertigo, vomiting, abnormal dreams, chills, and yawning. See below for a comprehensive list of adverse effects",Insomnia,"Anxiety, abnormal dreams, nervousness, decreased libido, anorgasmia, abnormal orgasm","Depersonalization, hypomania, withdrawal syndrome","Mania, hallucinations",,," Suicidal thoughts, bruxism"
Oxycodone,Opioid Agonist,Oxycontin,60760-049,Moderate to severe pain,"Constipation, drowsiness, nausea, pruritus, and vomiting, asthenia, diaphoresis, and xerostomia",,,,,,,"Paranoia, psychosis, hallucinations, agitation, anxiety"
Phenelzine,MAOIs (Monoamine Oxidase Inhibitor),Nardil,0071-0350,"Atypical,nonendogenous, or neurotic depression","Constipation; decreased interest in sexual intercourse; diarrhea; dry mouth; inability to have or keep an erection; indigestion; loss in sexual ability, desire, drive, or performance; loss of appetite; not able to have an orgasm; passing of gas; sleeplessness; stomach pain, fullness, or discomfort; trouble sleeping; unable to sleep; unusually deep sleep; unusually long duration of sleep; weight gain",,"Insomnia, anorgasmia","Nervousness, euphoria, behavioral changes, confusion, hallucinations",,"Toxic delirium, manic reaction, acute anxiety reaction, precipitation of schizophrenia",," Suicidal ideation, suicidal behaviors"
fluticasone propionate,"Corticosteroid, Corticosteroid Hormone Receptor Agonists",Flovent,68788-6926,Asthma,"Cough, general aches and pains or general feeling of illness, greenish-yellow mucus in the nose, headache, hoarseness or other voice changes, runny, sore, or stuffy nose",,,,,"Anxiety, sleep disorders, behavioral changes including hyperactivity and irritability (predominantly in children), depression",,
Isotretinoin,Retinoids,Amnesteem,0378-6611,Nodular Acne (Severe cystic Acne),"Crusting of the skin, difficulty in wearing contact lenses (may continue after medicine is stopped), dryness of the eyes (may continue after treatment is stopped), dryness of the mouth or nose, dryness or itching of the skin, headache (mild), increased sensitivity of the skin to sunlight, peeling of the skin on palms of the hands or soles of the feet, stomach upset, thinning of the hair (may continue after treatment is stopped)",,,,"Depression, aggravated depression, aggression/aggressive tendencies, anxiety, mood alterations","Abnormal behavior, psychosis/psychotic disorder, suicidal ideation/attempt, suicide",,
Isotretinoin,Retinoids,Claravis,0555-1054,Nodular Acne (Severe cystic Acne),"Crusting of the skin, difficulty in wearing contact lenses (may continue after medicine is stopped), dryness of the eyes (may continue after treatment is stopped), dryness of the mouth or nose, dryness or itching of the skin, headache (mild), increased sensitivity of the skin to sunlight, peeling of the skin on palms of the hands or soles of the feet, stomach upset, thinning of the hair (may continue after treatment is stopped)",,,,"Depression, aggravated depression, aggression/aggressive tendencies, anxiety, mood alterations","Abnormal behavior, psychosis/psychotic disorder, suicidal ideation/attempt, suicide",,
Isotretinoin,Retinoids,Myorisan,61748-301,Nodular Acne (Severe cystic Acne),"Crusting of the skin, difficulty in wearing contact lenses (may continue after medicine is stopped), dryness of the eyes (may continue after treatment is stopped), dryness of the mouth or nose, dryness or itching of the skin, headache (mild), increased sensitivity of the skin to sunlight, peeling of the skin on palms of the hands or soles of the feet, stomach upset, thinning of the hair (may continue after treatment is stopped)",,,,"Depression, aggravated depression, aggression/aggressive tendencies, anxiety, mood alterations","Abnormal behavior, psychosis/psychotic disorder, suicidal ideation/attempt, suicide",,
Isotretinoin,Retinoids,Zenatane,54868-6425,Nodular Acne (Severe cystic Acne),"Crusting of the skin, difficulty in wearing contact lenses (may continue after medicine is stopped), dryness of the eyes (may continue after treatment is stopped), dryness of the mouth or nose, dryness or itching of the skin, headache (mild), increased sensitivity of the skin to sunlight, peeling of the skin on palms of the hands or soles of the feet, stomach upset, thinning of the hair (may continue after treatment is stopped)",,,,"Depression, aggravated depression, aggression/aggressive tendencies, anxiety, mood alterations","Abnormal behavior, psychosis/psychotic disorder, suicidal ideation/attempt, suicide",,
Amphetamine,CNS Stimulant,Evekeo,24338-020,Attention deficit hyperactivity disorder (ADHD,"Decreased interest in sexual intercourse; difficulty having a bowel movement (stool); dry mouth; hives or welts, itching, or skin rash; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; loss of appetite; redness of the skin; unpleasant taste; weight loss",,,,Psychotic episodes,,," Euphoria, dysphoria, insomnia, restlessness"
Amphetamine,CNS Stimulant,Adzenys XR-ODT,70165-005,Attention deficit hyperactivity disorder (ADHD,"Decreased interest in sexual intercourse; difficulty having a bowel movement (stool); dry mouth; hives or welts, itching, or skin rash; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; loss of appetite; redness of the skin; unpleasant taste; weight loss",,,,Psychotic episodes,,," Euphoria, dysphoria, insomnia, restlessness"
Amphetamine,CNS Stimulant,Dyanavel XR,27808-102,Attention deficit hyperactivity disorder (ADHD,"Decreased interest in sexual intercourse; difficulty having a bowel movement (stool); dry mouth; hives or welts, itching, or skin rash; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; loss of appetite; redness of the skin; unpleasant taste; weight loss",,,,Psychotic episodes,,," Euphoria, dysphoria, insomnia, restlessness"
Escitalopram,SSRIs (selective serotonin reuptake inhibitor),Lexapro,61919-859,"Major Depressive Disorder, Generalized Anxiety Disorder","diarrhea, drowsiness, ejaculatory disorder, headache, insomnia, nausea, and delayed ejaculation, anorgasmia, constipation, dizziness, dyspepsia, fatigue, decreased libido, diaphoresis, and xerostomia",Insomnia (up to 14%),"Abnormal dreams, agitation, anxiety, nervousness, restlessness","Abnormal thinking, aggravated depression, aggression/aggressive reaction, aggravated restlessness, alcohol problem, apathy, bruxism, confusion, confusional state, depersonalization, depression, emotional lability, excitability, feeling unreal, forgetfulness, visual/auditory hallucination, hypomania, irritability, jitteriness, obsessive-compulsive disorder, panic attack/reaction, paranoia/paroniria, sleep disorder, suicide attempt, tics",,," Acute psychosis, anger, completed suicide, delirium, delusion, disorientation, non-accidental overdose, mood swings, nightmare, psychotic disorder, withdrawal syndrome"," Mania, suicidal ideation/behavior"
Isotretinoin,Retinoids,Absorica,10631-115,Nodular Acne (Severe cystic Acne),"Diarrhea, indigestion, loss of appetite, nausea or vomiting, passing of gas, stomach pain, fullness, or discomfort",,,,"Depression, aggravated depression, aggression/aggressive tendencies, anxiety, mood alterations.","Abnormal behavior, psychosis/psychotic disorder, suicidal ideation/attempt, suicide",,
Fluorouracil,Chemotherapeutic agent/Antimetabolite/Antineoplastic drug,Adrucil,0703-3015,"Treatment of symptoms of colon, rectum, breast, stomach, and pancreas cancer",Diarrhea; heartburn; sores in mouth and on lips; Loss of appetite; nausea and vomiting; skin rash and itching; weakness,,,"Euphoria, somnolence",Confusion,Disorientation,,
Chlordiazepoxide,Benzodiazepine,Chlordiazepoxide,61919-711,"Anxiety disorders, anxiety before surgery, anxiety or withdrawal symptoms of alcoholism","Dizziness, drowsiness, insomnia, vertigo, confusion, headache, and irritability",,,,Numbed emotions,,," Dependence, irritability, aggressive outbursts, delusion, nightmares, hallucinations, inappropriate behavior, rage, psychosis"
Chlordiazepoxide,Benzodiazepine,Poxi,61919-711,"Anxiety disorders, anxiety before surgery, anxiety or withdrawal symptoms of alcoholism","Dizziness, drowsiness, insomnia, vertigo, confusion, headache, and irritability",,,,Numbed emotions,,," Dependence, irritability, aggressive outbursts, delusion, nightmares, hallucinations, inappropriate behavior, rage, psychosis"
Dicyclomine,Anticholinergic agent,Bentyl,58914-012,Irritable bowel syndrome,"Dizziness, drowsiness, lightheadedness, weakness, blurred vision, dry eyes, dry mouth, nausea, constipation, and abdominal bloating ",,,,,,"Delirium or symptoms of delirium such as amnesia (or transient global amnesia), nervousness, agitation, confusional state, delusion, disorientation, hallucination (including visual hallucination), and mania, mood (altered and pseudodementia)",
